order_id,order_date,customer_id,region,city,product_category,product_name,quantity,unit_price,discount,revenue,profit,payment_method,customer_segment,delivery_days,returned
ORD-10028,2023-01-26,CUST-123,North America,Toronto,Furniture,Lounge Recliner Sofa,1,745.92,0.1,671.33,81.84,PayPal,Small Business,6,No
ORD-10029,2023-01-27,CUST-136,Europe,Paris,Office Supplies,Desk Organization Tray,1,17.17,0.0,17.17,-9.49,Credit Card,Corporate,8,No
ORD-10030,2023-01-23,CUST-227,Asia Pacific,Seoul,Office Supplies,Desk Organization Tray,1,17.91,0.0,17.91,-9.23,Corporate Invoice,Consumer,6,No
ORD-10031,2023-01-29,CUST-187,Asia Pacific,Seoul,Furniture,Modern Minimalist Bookcase,1,190.99,0.0,190.99,31.52,Credit Card,Corporate,1,No
ORD-10032,2023-01-26,CUST-116,Europe,London,Electronics,Noise-Canceling Headphones,1,242.75,0.05,230.61,45.42,Direct Wire,Corporate,5,No
ORD-10033,2023-01-25,CUST-105,Latin America,Bogota,Office Supplies,Premium Gel Pen 20-Pack,1,23.21,0.0,23.21,-2.38,PayPal,Small Business,1,No
ORD-10034,2023-01-28,CUST-168,Asia Pacific,Sydney,Electronics,Ultra Pro Smartphone,8,831.97,0.15,5657.4,919.61,Credit Card,Consumer,4,Yes
ORD-10035,2023-02-01,CUST-136,Latin America,Santiago,Fashion & Apparel,Waterproof Trench Coat,1,182.47,0.05,173.35,38.47,Credit Card,Corporate,3,No
ORD-10036,2023-01-28,CUST-289,North America,New York,Office Supplies,Premium Gel Pen 20-Pack,8,23.62,0.0,188.96,38.14,Direct Wire,Corporate,4,No
ORD-10037,2023-01-31,CUST-141,Latin America,Santiago,Furniture,Lounge Recliner Sofa,3,740.36,0.05,2110.03,364.58,PayPal,Small Business,10,No
ORD-10038,2023-02-01,CUST-164,Asia Pacific,Tokyo,Office Supplies,Locking Storage Cabinet,2,216.3,0.2,346.08,56.22,PayPal,Corporate,2,No
ORD-10039,2023-01-30,CUST-147,North America,New York,Fashion & Apparel,Italian Leather Chelsea Boots,8,223.8,0.05,1700.88,452.5,Corporate Invoice,Corporate,2,No
ORD-10040,2023-02-07,CUST-234,Europe,Berlin,Electronics,4K Ultra Gaming Monitor,1,486.22,0.0,486.22,120.64,Corporate Invoice,Small Business,6,No
ORD-10041,2023-02-04,CUST-289,Europe,Paris,Fashion & Apparel,Titanium Chrono Watch,1,313.08,0.2,250.46,27.08,Corporate Invoice,Corporate,7,No
ORD-10042,2023-02-07,CUST-126,Latin America,Mexico City,Electronics,Noise-Canceling Headphones,1,241.27,0.0,241.27,57.06,PayPal,Consumer,2,No
ORD-10043,2023-02-01,CUST-264,North America,Los Angeles,Electronics,Ultra Pro Smartphone,1,825.29,0.0,825.29,220.58,Corporate Invoice,Small Business,1,No
ORD-10044,2023-02-03,CUST-186,North America,New York,Fashion & Apparel,Waterproof Trench Coat,1,197.99,0.0,197.99,52.86,Corporate Invoice,Corporate,3,No
ORD-10045,2023-02-05,CUST-289,Latin America,Mexico City,Fashion & Apparel,Italian Leather Chelsea Boots,2,226.39,0.1,407.5,86.84,Credit Card,Corporate,4,No
ORD-10046,2023-02-11,CUST-345,Asia Pacific,Tokyo,Office Supplies,Heavy Duty Paper Shredder,2,122.89,0.3,172.05,3.51,Corporate Invoice,Small Business,6,No
ORD-10047,2023-02-09,CUST-291,Latin America,Sao Paulo,Furniture,Executive Ergonomic Chair,1,339.7,0.0,339.7,59.23,PayPal,Small Business,7,No
ORD-10048,2023-02-10,CUST-228,Latin America,Bogota,Office Supplies,Locking Storage Cabinet,1,222.42,0.1,200.18,44.55,Credit Card,Corporate,2,No
ORD-10049,2023-02-14,CUST-218,North America,Houston,Fashion & Apparel,Business Travel Backpack,4,92.57,0.0,370.28,100.49,Corporate Invoice,Small Business,3,No
ORD-10050,2023-02-13,CUST-181,Asia Pacific,Sydney,Fashion & Apparel,Merino Wool Blazer,2,243.12,0.0,486.24,142.6,Corporate Invoice,Corporate,5,No
ORD-10051,2023-02-16,CUST-246,North America,Chicago,Office Supplies,Desk Organization Tray,1,18.51,0.0,18.51,-9.02,Direct Wire,Small Business,9,No
ORD-10052,2023-02-11,CUST-190,Asia Pacific,Tokyo,Electronics,4K Ultra Gaming Monitor,5,496.98,0.3,1739.43,75.17,PayPal,Corporate,4,No
ORD-10053,2023-02-16,CUST-211,North America,New York,Office Supplies,Locking Storage Cabinet,4,208.54,0.15,709.04,150.4,Credit Card,Consumer,4,No
ORD-10054,2023-02-10,CUST-318,Europe,London,Office Supplies,Locking Storage Cabinet,10,222.21,0.0,2222.1,739.73,Direct Wire,Corporate,6,No
ORD-10055,2023-02-14,CUST-162,Latin America,Sao Paulo,Furniture,Adjustable Standing Desk,5,619.44,0.15,2632.62,257.51,Credit Card,Small Business,8,No
ORD-10056,2023-02-19,CUST-338,Europe,Berlin,Fashion & Apparel,Merino Wool Blazer,3,245.33,0.0,735.99,220.02,Credit Card,Consumer,1,Yes
ORD-10057,2023-02-14,CUST-131,Asia Pacific,Seoul,Fashion & Apparel,Merino Wool Blazer,10,244.82,0.1,2203.38,501.83,Credit Card,Corporate,6,No
ORD-10058,2023-02-15,CUST-153,Europe,Berlin,Office Supplies,Heavy Duty Paper Shredder,4,124.15,0.1,446.94,104.91,Direct Wire,Consumer,3,No
ORD-10059,2023-02-22,CUST-245,North America,Chicago,Office Supplies,Locking Storage Cabinet,1,208.06,0.0,208.06,57.32,Credit Card,Small Business,9,No
ORD-10060,2023-02-18,CUST-281,North America,New York,Furniture,Adjustable Standing Desk,10,612.67,0.05,5820.36,1029.22,Credit Card,Small Business,1,No
ORD-10061,2023-02-24,CUST-327,North America,Houston,Electronics,Noise-Canceling Headphones,1,247.15,0.3,173.0,-5.98,Credit Card,Small Business,9,Yes
ORD-10062,2023-02-20,CUST-321,Asia Pacific,Singapore,Furniture,Modern Minimalist Bookcase,2,208.74,0.3,292.24,-14.46,Corporate Invoice,Corporate,4,Yes
ORD-10063,2023-02-23,CUST-329,Europe,Paris,Furniture,Modern Minimalist Bookcase,5,203.23,0.2,812.92,31.4,Direct Wire,Consumer,8,No
ORD-10064,2023-02-22,CUST-335,Latin America,Mexico City,Electronics,Wireless Fast Charger,1,47.9,0.0,47.9,-2.09,Corporate Invoice,Consumer,6,No
ORD-10065,2023-02-23,CUST-186,North America,New York,Office Supplies,Premium Gel Pen 20-Pack,1,24.38,0.05,23.16,-8.26,Credit Card,Corporate,9,No
ORD-10066,2023-02-25,CUST-121,Latin America,Sao Paulo,Fashion & Apparel,Waterproof Trench Coat,3,195.78,0.05,557.97,142.13,PayPal,Corporate,1,Yes
ORD-10067,2023-02-24,CUST-150,Europe,Madrid,Electronics,4K Ultra Gaming Monitor,1,492.49,0.1,443.24,75.36,Direct Wire,Small Business,7,No
ORD-10068,2023-02-27,CUST-106,Asia Pacific,Mumbai,Electronics,Noise-Canceling Headphones,1,243.44,0.1,219.1,34.42,Credit Card,Corporate,1,No
ORD-10069,2023-03-03,CUST-284,Latin America,Sao Paulo,Electronics,Ultra Pro Smartphone,2,819.81,0.2,1311.7,157.52,Direct Wire,Small Business,5,No
ORD-10070,2023-03-01,CUST-248,Latin America,Sao Paulo,Office Supplies,Desk Organization Tray,3,17.11,0.05,48.76,-0.26,PayPal,Corporate,1,No
ORD-10071,2023-03-01,CUST-123,Asia Pacific,Sydney,Office Supplies,Heavy Duty Paper Shredder,2,124.9,0.0,249.8,74.43,PayPal,Small Business,5,No
ORD-10072,2023-02-26,CUST-291,North America,Los Angeles,Office Supplies,Locking Storage Cabinet,1,225.82,0.2,180.66,20.63,Direct Wire,Consumer,7,Yes
ORD-10073,2023-02-27,CUST-124,North America,Los Angeles,Furniture,Executive Ergonomic Chair,8,357.87,0.0,2862.96,601.85,Direct Wire,Small Business,3,No
ORD-10074,2023-02-27,CUST-160,Latin America,Buenos Aires,Electronics,4K Ultra Gaming Monitor,1,501.34,0.1,451.21,82.0,PayPal,Corporate,4,No
ORD-10075,2023-03-04,CUST-249,Latin America,Mexico City,Fashion & Apparel,Titanium Chrono Watch,4,291.65,0.1,1049.94,234.24,Credit Card,Consumer,7,No
ORD-10076,2023-03-02,CUST-317,Asia Pacific,Sydney,Office Supplies,Premium Gel Pen 20-Pack,2,24.39,0.05,46.34,-3.52,Direct Wire,Consumer,8,No
ORD-10077,2023-03-07,CUST-165,North America,Houston,Office Supplies,Locking Storage Cabinet,1,215.38,0.05,204.61,53.44,PayPal,Consumer,3,No
ORD-10078,2023-03-03,CUST-193,Asia Pacific,Singapore,Furniture,Modern Minimalist Bookcase,2,207.61,0.15,352.94,19.94,Direct Wire,Small Business,8,Yes
ORD-10079,2023-03-03,CUST-275,Latin America,Bogota,Electronics,"Ergonomic Laptop 15""",5,1211.36,0.1,5451.12,1091.98,Direct Wire,Consumer,9,No
ORD-10080,2023-03-06,CUST-323,North America,Chicago,Electronics,Ultra Pro Smartphone,5,823.84,0.0,4119.2,1132.88,Credit Card,Small Business,1,No
ORD-10081,2023-03-10,CUST-147,Asia Pacific,Tokyo,Electronics,Ultra Pro Smartphone,3,782.67,0.0,2348.01,641.94,Corporate Invoice,Corporate,5,No
ORD-10082,2023-03-07,CUST-132,Latin America,Santiago,Fashion & Apparel,Titanium Chrono Watch,2,295.63,0.0,591.26,176.2,Direct Wire,Consumer,5,Yes
ORD-10083,2023-03-12,CUST-298,Latin America,Mexico City,Electronics,Ultra Pro Smartphone,4,834.57,0.05,3171.37,746.06,PayPal,Consumer,8,No
ORD-10084,2023-03-13,CUST-168,Asia Pacific,Tokyo,Fashion & Apparel,Waterproof Trench Coat,8,185.96,0.15,1264.53,234.39,PayPal,Small Business,2,No
ORD-10085,2023-03-09,CUST-283,Asia Pacific,Singapore,Office Supplies,Premium Gel Pen 20-Pack,1,23.08,0.0,23.08,-2.42,Credit Card,Corporate,4,No
ORD-10086,2023-03-12,CUST-143,Asia Pacific,Seoul,Fashion & Apparel,Italian Leather Chelsea Boots,1,224.8,0.1,202.32,34.07,Credit Card,Corporate,11,No
ORD-10087,2023-03-18,CUST-105,North America,Los Angeles,Office Supplies,Locking Storage Cabinet,3,228.62,0.2,548.69,94.24,Corporate Invoice,Corporate,2,No
ORD-10088,2023-03-14,CUST-153,Europe,Paris,Electronics,Wireless Fast Charger,5,50.39,0.15,214.16,15.37,Direct Wire,Corporate,3,No
ORD-10089,2023-03-19,CUST-209,North America,New York,Furniture,Executive Ergonomic Chair,5,352.21,0.1,1584.94,209.32,Corporate Invoice,Small Business,5,Yes
ORD-10090,2023-03-19,CUST-141,North America,New York,Electronics,"Ergonomic Laptop 15""",4,1144.74,0.0,4578.96,1264.11,Direct Wire,Consumer,5,No
ORD-10091,2023-03-16,CUST-114,North America,New York,Fashion & Apparel,Business Travel Backpack,8,91.6,0.1,659.52,133.58,Credit Card,Small Business,3,No
ORD-10092,2023-03-22,CUST-337,Latin America,Sao Paulo,Fashion & Apparel,Titanium Chrono Watch,5,311.24,0.0,1556.2,477.48,Credit Card,Corporate,3,No
ORD-10093,2023-03-21,CUST-175,North America,Toronto,Electronics,Wireless Fast Charger,4,49.06,0.05,186.43,27.21,Direct Wire,Consumer,4,No
ORD-10094,2023-03-18,CUST-200,North America,Toronto,Office Supplies,Recycled Multipurpose Paper,2,39.47,0.05,74.99,10.43,Direct Wire,Consumer,5,Yes
ORD-10095,2023-03-20,CUST-141,Asia Pacific,Tokyo,Furniture,Adjustable Standing Desk,1,610.76,0.1,549.68,64.2,Credit Card,Consumer,8,Yes
ORD-10096,2023-03-21,CUST-210,North America,Toronto,Office Supplies,Heavy Duty Paper Shredder,4,133.55,0.1,480.78,114.21,Credit Card,Small Business,3,No
ORD-10097,2023-03-24,CUST-263,Asia Pacific,Tokyo,Electronics,Noise-Canceling Headphones,1,256.89,0.1,231.2,36.9,PayPal,Small Business,5,No
ORD-10098,2023-03-25,CUST-239,Europe,Madrid,Furniture,Solid Oak Conference Table,3,925.04,0.0,2775.12,595.03,Corporate Invoice,Small Business,4,No
ORD-10099,2023-03-23,CUST-151,Europe,Madrid,Electronics,4K Ultra Gaming Monitor,3,493.14,0.0,1479.42,398.74,Credit Card,Consumer,4,No
ORD-10100,2023-03-25,CUST-349,Asia Pacific,Singapore,Furniture,Lounge Recliner Sofa,1,769.19,0.05,730.73,122.86,Corporate Invoice,Consumer,5,No
ORD-10101,2023-03-29,CUST-181,Asia Pacific,Singapore,Office Supplies,Premium Gel Pen 20-Pack,4,24.98,0.0,99.92,16.97,PayPal,Small Business,5,No
ORD-10102,2023-03-22,CUST-207,Asia Pacific,Tokyo,Furniture,Solid Oak Conference Table,5,890.56,0.05,4230.16,751.5,Corporate Invoice,Small Business,5,No
ORD-10103,2023-03-31,CUST-216,Asia Pacific,Mumbai,Electronics,Wireless Fast Charger,1,46.85,0.2,37.48,-5.63,Direct Wire,Consumer,3,No
ORD-10104,2023-03-24,CUST-135,North America,Los Angeles,Furniture,Modern Minimalist Bookcase,5,203.14,0.0,1015.7,197.95,PayPal,Consumer,6,Yes
ORD-10105,2023-03-28,CUST-238,Latin America,Buenos Aires,Fashion & Apparel,Italian Leather Chelsea Boots,2,212.74,0.0,425.48,118.15,PayPal,Corporate,6,No
ORD-10106,2023-03-28,CUST-334,Europe,Amsterdam,Office Supplies,Locking Storage Cabinet,1,213.73,0.0,213.73,64.31,Credit Card,Consumer,1,No
ORD-10107,2023-03-26,CUST-152,North America,Los Angeles,Fashion & Apparel,Merino Wool Blazer,2,261.03,0.05,495.96,127.11,Direct Wire,Small Business,2,Yes
ORD-10108,2023-03-31,CUST-163,Europe,Amsterdam,Fashion & Apparel,Italian Leather Chelsea Boots,2,220.32,0.15,374.54,59.72,Credit Card,Corporate,7,No
ORD-10109,2023-04-01,CUST-129,North America,Toronto,Fashion & Apparel,Italian Leather Chelsea Boots,5,221.06,0.0,1105.3,333.2,Credit Card,Corporate,5,No
ORD-10110,2023-04-02,CUST-109,North America,Chicago,Office Supplies,Locking Storage Cabinet,1,223.59,0.05,212.41,55.88,Direct Wire,Corporate,1,No
ORD-10111,2023-03-30,CUST-236,North America,Toronto,Fashion & Apparel,Titanium Chrono Watch,3,295.86,0.05,843.2,222.7,PayPal,Small Business,5,No
ORD-10112,2023-04-08,CUST-322,Asia Pacific,Tokyo,Fashion & Apparel,Waterproof Trench Coat,1,187.57,0.1,168.81,30.86,Direct Wire,Small Business,2,No
ORD-10113,2023-04-08,CUST-316,Europe,London,Office Supplies,Locking Storage Cabinet,1,218.99,0.1,197.09,38.7,Credit Card,Corporate,8,Yes
ORD-10114,2023-04-05,CUST-297,Europe,Madrid,Electronics,"Ergonomic Laptop 15""",2,1190.67,0.1,2143.21,426.36,Corporate Invoice,Corporate,2,No
ORD-10115,2023-04-08,CUST-295,North America,Toronto,Furniture,Executive Ergonomic Chair,2,351.74,0.05,668.31,108.97,Corporate Invoice,Consumer,4,No
ORD-10116,2023-04-04,CUST-214,North America,New York,Fashion & Apparel,Merino Wool Blazer,1,250.28,0.0,250.28,69.59,Direct Wire,Corporate,3,No
ORD-10117,2023-04-06,CUST-173,Europe,London,Office Supplies,Locking Storage Cabinet,3,209.48,0.0,628.44,199.45,Corporate Invoice,Consumer,6,No
ORD-10118,2023-04-06,CUST-348,Asia Pacific,Tokyo,Fashion & Apparel,Waterproof Trench Coat,5,197.98,0.0,989.9,291.27,Credit Card,Small Business,10,No
ORD-10119,2023-04-13,CUST-232,North America,Toronto,Electronics,Ultra Pro Smartphone,1,796.18,0.2,636.94,72.3,Credit Card,Corporate,5,Yes
ORD-10120,2023-04-06,CUST-170,North America,Chicago,Fashion & Apparel,Titanium Chrono Watch,3,298.87,0.2,717.29,101.44,PayPal,Corporate,9,No
ORD-10121,2023-04-10,CUST-188,Asia Pacific,Tokyo,Furniture,Solid Oak Conference Table,2,878.82,0.0,1757.64,373.68,Direct Wire,Small Business,5,No
ORD-10122,2023-04-14,CUST-169,Asia Pacific,Seoul,Electronics,Ultra Pro Smartphone,3,802.96,0.15,2047.55,322.46,Direct Wire,Small Business,8,No
ORD-10123,2023-04-17,CUST-160,Asia Pacific,Mumbai,Electronics,"Ergonomic Laptop 15""",2,1228.04,0.2,1964.86,242.43,Corporate Invoice,Consumer,3,No
ORD-10124,2023-04-14,CUST-207,North America,Los Angeles,Electronics,Ultra Pro Smartphone,4,829.9,0.1,2987.64,589.47,Corporate Invoice,Consumer,6,No
ORD-10125,2023-04-16,CUST-278,Latin America,Mexico City,Office Supplies,Heavy Duty Paper Shredder,1,126.53,0.1,113.88,15.82,PayPal,Corporate,9,No
ORD-10126,2023-04-11,CUST-257,Asia Pacific,Tokyo,Fashion & Apparel,Waterproof Trench Coat,2,186.97,0.0,373.94,101.66,Corporate Invoice,Consumer,8,No
ORD-10127,2023-04-13,CUST-228,North America,Chicago,Fashion & Apparel,Business Travel Backpack,3,86.69,0.0,260.07,67.72,Direct Wire,Corporate,3,No
ORD-10128,2023-04-17,CUST-275,Europe,Madrid,Electronics,Ultra Pro Smartphone,3,796.55,0.3,1672.75,76.5,PayPal,Corporate,1,No
ORD-10129,2023-04-22,CUST-253,North America,New York,Furniture,Adjustable Standing Desk,1,575.23,0.1,517.71,64.57,Credit Card,Corporate,5,No
ORD-10130,2023-04-15,CUST-113,North America,Chicago,Fashion & Apparel,Business Travel Backpack,10,92.1,0.0,921.0,261.72,Corporate Invoice,Small Business,1,No
ORD-10131,2023-04-19,CUST-327,Asia Pacific,Sydney,Furniture,Adjustable Standing Desk,5,586.65,0.05,2786.59,483.05,Direct Wire,Consumer,8,No
ORD-10132,2023-04-20,CUST-184,Europe,Madrid,Electronics,Wireless Fast Charger,4,46.99,0.2,150.37,-3.45,Direct Wire,Corporate,9,Yes
ORD-10133,2023-04-24,CUST-280,Asia Pacific,Sydney,Furniture,Lounge Recliner Sofa,5,763.18,0.0,3815.9,819.0,Corporate Invoice,Consumer,1,No
ORD-10134,2023-04-26,CUST-343,North America,Toronto,Furniture,Solid Oak Conference Table,1,912.42,0.0,912.42,190.23,PayPal,Small Business,2,No
ORD-10135,2023-04-20,CUST-193,Asia Pacific,Mumbai,Furniture,Executive Ergonomic Chair,2,345.55,0.2,552.88,25.7,Direct Wire,Corporate,2,Yes
ORD-10136,2023-04-24,CUST-316,Latin America,Buenos Aires,Fashion & Apparel,Business Travel Backpack,2,86.19,0.0,172.38,42.16,Credit Card,Corporate,5,No
ORD-10137,2023-04-21,CUST-152,Europe,Berlin,Furniture,Lounge Recliner Sofa,2,785.89,0.1,1414.6,192.12,Credit Card,Small Business,2,No
ORD-10138,2023-04-28,CUST-322,Latin America,Buenos Aires,Fashion & Apparel,Waterproof Trench Coat,2,198.26,0.05,376.69,93.41,Corporate Invoice,Consumer,4,No
ORD-10139,2023-04-29,CUST-305,Europe,Berlin,Furniture,Solid Oak Conference Table,1,937.38,0.15,796.77,75.15,Direct Wire,Corporate,1,No
ORD-10140,2023-04-27,CUST-308,North America,Chicago,Office Supplies,Heavy Duty Paper Shredder,8,132.29,0.1,952.49,233.93,Direct Wire,Consumer,5,Yes
ORD-10141,2023-05-02,CUST-188,Europe,Amsterdam,Furniture,Modern Minimalist Bookcase,2,191.4,0.15,325.38,16.98,PayPal,Consumer,6,No
ORD-10142,2023-05-02,CUST-252,North America,Houston,Fashion & Apparel,Merino Wool Blazer,5,246.8,0.2,987.2,147.32,Direct Wire,Small Business,4,Yes
ORD-10143,2023-04-27,CUST-200,Europe,Berlin,Furniture,Executive Ergonomic Chair,1,333.24,0.05,316.58,47.28,Direct Wire,Small Business,2,Yes
ORD-10144,2023-04-26,CUST-301,Latin America,Mexico City,Fashion & Apparel,Waterproof Trench Coat,1,193.67,0.0,193.67,46.47,Direct Wire,Corporate,12,No
ORD-10145,2023-05-01,CUST-301,Europe,Paris,Fashion & Apparel,Italian Leather Chelsea Boots,1,225.08,0.2,180.06,15.11,Corporate Invoice,Small Business,8,No
ORD-10146,2023-05-06,CUST-226,Latin America,Bogota,Office Supplies,Desk Organization Tray,5,18.01,0.0,90.05,11.02,Corporate Invoice,Small Business,2,No
ORD-10147,2023-05-04,CUST-135,Latin America,Sao Paulo,Fashion & Apparel,Waterproof Trench Coat,2,184.1,0.05,349.79,85.82,PayPal,Corporate,3,No
ORD-10148,2023-05-06,CUST-110,Latin America,Santiago,Fashion & Apparel,Titanium Chrono Watch,1,312.21,0.3,218.55,10.26,PayPal,Small Business,4,Yes
ORD-10149,2023-05-05,CUST-209,Europe,Madrid,Electronics,Ultra Pro Smartphone,1,768.7,0.15,653.39,93.94,Corporate Invoice,Small Business,6,No
ORD-10150,2023-05-03,CUST-140,Europe,Amsterdam,Furniture,Executive Ergonomic Chair,2,366.02,0.0,732.04,148.05,Credit Card,Small Business,5,No
ORD-10151,2023-05-05,CUST-244,North America,New York,Office Supplies,Heavy Duty Paper Shredder,1,129.07,0.05,122.62,22.82,Credit Card,Small Business,8,No
ORD-10152,2023-05-09,CUST-249,Latin America,Santiago,Fashion & Apparel,Titanium Chrono Watch,1,309.75,0.1,278.78,52.8,Direct Wire,Consumer,8,Yes
ORD-10153,2023-05-05,CUST-278,North America,New York,Fashion & Apparel,Waterproof Trench Coat,8,195.12,0.05,1482.91,385.92,Direct Wire,Small Business,7,Yes
ORD-10154,2023-05-06,CUST-250,Latin America,Mexico City,Electronics,Noise-Canceling Headphones,3,236.76,0.05,674.77,148.13,Corporate Invoice,Small Business,2,No
ORD-10155,2023-05-09,CUST-246,Latin America,Santiago,Fashion & Apparel,Titanium Chrono Watch,5,299.45,0.05,1422.39,381.33,Corporate Invoice,Corporate,1,No
ORD-10156,2023-05-13,CUST-125,Asia Pacific,Sydney,Office Supplies,Heavy Duty Paper Shredder,3,123.36,0.0,370.08,114.03,Credit Card,Small Business,5,No
ORD-10157,2023-05-07,CUST-173,Asia Pacific,Tokyo,Office Supplies,Premium Gel Pen 20-Pack,1,25.11,0.05,23.85,-8.05,Credit Card,Consumer,9,Yes
ORD-10158,2023-05-12,CUST-322,Europe,Madrid,Office Supplies,Heavy Duty Paper Shredder,1,127.79,0.05,121.4,27.44,Direct Wire,Corporate,1,No
ORD-10159,2023-05-14,CUST-130,Europe,Berlin,Fashion & Apparel,Titanium Chrono Watch,2,304.6,0.1,548.28,121.33,Credit Card,Corporate,2,No
ORD-10160,2023-05-16,CUST-234,Europe,Paris,Furniture,Solid Oak Conference Table,2,883.98,0.05,1679.56,288.52,PayPal,Consumer,9,No
ORD-10161,2023-05-17,CUST-190,North America,Toronto,Electronics,"Ergonomic Laptop 15""",2,1209.88,0.1,2177.78,433.44,PayPal,Corporate,5,No
ORD-10162,2023-05-13,CUST-276,North America,Chicago,Office Supplies,Locking Storage Cabinet,2,210.61,0.2,336.98,54.4,Corporate Invoice,Corporate,1,No
ORD-10163,2023-05-19,CUST-289,Latin America,Mexico City,Electronics,Noise-Canceling Headphones,1,252.22,0.15,214.39,25.41,Direct Wire,Corporate,2,No
ORD-10164,2023-05-14,CUST-255,Latin America,Mexico City,Electronics,"Ergonomic Laptop 15""",1,1204.2,0.05,1143.99,266.92,Corporate Invoice,Corporate,3,No
